Data file,,DELRINNC010-UNHONED_ISO10_12DEG_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DelrinNC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:40:13 on 13/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:51:48,4,-1,694.4,0.02,0.1,7,11,0.003,10,49.6,0.02
,09:51:49,4,-1,695.4,0.05,1.8,6,10.9,0.009,10,49.9,0.06
,09:51:50,4,-1,696.4,0.13,8.4,6,10.9,0.022,10,49.9,0.13
,09:51:51,4,-1,697.4,0.21,13.1,6,10.9,0.034,10,49.8,0.21
,09:51:52,4,-1,698.4,0.27,13.3,7,10.9,0.038,10,49.8,0.26
,09:51:53,4,-1,699.4,0.28,13.3,8,10.9,0.037,10,49.8,0.27
,09:51:54,4,-1,700.4,0.29,13.3,8,10.9,0.036,10,49.8,0.28
,09:51:55,4,-1,701.4,0.29,13.3,8,10.9,0.036,10,49.8,0.28
,09:51:56,4,-1,702.4,0.28,13.3,8,10.8,0.037,10,49.8,0.27
,09:51:57,4,-1,703.4,0.28,13.3,8,10.8,0.037,10,49.8,0.27
,09:51:58,4,-1,704.4,0.28,13.3,7,10.8,0.037,10,49.8,0.27
,09:51:59,4,-1,705.4,0.28,13.3,7,10.8,0.037,10,49.8,0.27
,09:52:00,4,-1,706.4,0.28,13.3,7,10.8,0.038,10,49.8,0.27
,09:52:01,4,-1,707.4,0.28,13.3,7,10.7,0.04,10,49.8,0.27
,09:52:02,4,-1,708.4,0.28,13.3,7,10.7,0.04,10,49.8,0.27
,09:52:03,4,-1,709.4,0.28,13.3,7,10.7,0.04,10,49.8,0.27
,09:52:04,4,-1,710.4,0.28,13.3,7,10.7,0.038,10,49.8,0.27
,09:52:05,4,-1,711.4,0.28,13.3,7,10.7,0.038,10,49.8,0.27
