Data file,,PRELIM_SORONA_DRY_001.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,17/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PTT,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 25,,,,,,,,,,,,
Test started at 16:28:33 on 17/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,prelim_sorona_dry_001-h001.tsv,,,,,,,,,,
,16:30:47,5,10790,133.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:30:48,5,10790,134.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:30:49,5,10790,135.9,10.2,13.3,25,21,0.415,10,49.9,9.85
,16:30:50,5,10790,136.9,10.2,13.3,25,21,0.414,10,49.9,9.85
,16:30:51,5,10790,137.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:30:52,5,10790,138.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:30:53,5,10790,139.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:30:54,5,10790,140.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:30:55,5,10790,141.9,10.2,13.3,25,21,0.402,10,49.9,9.85
,16:30:56,5,10790,142.9,10.2,13.3,26,21,0.398,10,49.9,9.85
,16:30:57,5,10790,143.9,10.2,13.3,26,21,0.398,10,49.9,9.85
,16:30:58,5,10790,144.9,10.2,13.3,25,21,0.402,10,49.9,9.85
,16:30:59,5,10790,145.9,10.2,13.3,25,21,0.402,10,49.9,9.85
,16:31:00,5,10790,146.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:31:01,5,10790,147.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:02,5,10790,148.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:03,5,10790,149.9,10.19,13.3,25,21,0.41,10,49.9,9.84
,16:31:04,5,10790,150.9,10.19,13.3,25,21,0.414,10,49.9,9.84
,16:31:05,5,10790,151.9,10.19,13.3,25,21,0.41,10,49.9,9.84
,16:31:06,5,10790,152.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:31:07,5,10790,153.9,10.2,13.3,25,21,0.415,10,49.9,9.85
