Data file,,RA0.3_PDMS_12C_004.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,Polydimethyl Silicone,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 17:19:51 on 07/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,17:22:53,4,2700,181.6,0.02,0,9,12,0.002,10,0,0.02
,17:22:54,4,2700,182.6,0.19,0.3,9,12,0.021,10,0,0.2
,17:22:55,4,2700,183.6,0.55,4.1,9,12,0.061,10,0,0.56
,17:22:56,4,2700,184.6,0.97,10.4,9,12,0.102,10,0,0.94
,17:22:57,4,2700,185.6,1.22,13.2,9,12,0.128,10,0.1,1.15
,17:22:58,4,2700,186.6,1.27,13.3,9,12,0.133,10,0,1.19
,17:22:59,4,2700,187.6,1.27,13.3,9,12,0.137,10,0.1,1.18
,17:23:00,4,2700,188.6,1.26,13.3,9,11.9,0.136,10,0,1.18
,17:23:01,4,2700,189.6,1.25,13.3,9,11.9,0.131,10,0,1.17
,17:23:02,4,2700,190.6,1.24,13.3,9,11.9,0.13,10,0,1.15
,17:23:03,4,2700,191.6,1.22,13.3,9,11.9,0.129,10,0,1.15
,17:23:04,4,2700,192.6,1.22,13.3,9,11.9,0.132,10,0,1.14
,17:23:05,4,2700,193.6,1.21,13.3,9,11.8,0.131,10,0.1,1.13
,17:23:06,4,2700,194.6,1.21,13.3,9,11.8,0.131,10,0.1,1.13
,17:23:07,4,2700,195.6,1.21,13.3,9,11.8,0.127,10,0.1,1.13
,17:23:08,4,2700,196.6,1.2,13.3,9,11.8,0.13,10,0.1,1.13
,17:23:09,4,2700,197.6,1.2,13.3,9,11.8,0.13,10,0,1.13
,17:23:10,4,2700,198.6,1.2,13.3,9,11.7,0.134,10,0,1.12
,17:23:11,4,2700,199.6,1.2,13.3,9,11.7,0.133,10,0,1.12
,17:23:12,4,2700,200.6,1.19,13.3,9,11.7,0.133,10,0,1.12
,17:23:13,4,2700,201.6,1.19,13.3,9,11.7,0.133,10,0,1.12
,17:23:14,4,2700,202.6,1.19,13.3,9,11.7,0.133,10,0,1.12
,17:23:15,4,2700,203.6,1.19,13.3,9,11.6,0.137,10,0.1,1.11
,17:23:16,4,2700,204.6,1.19,13.3,9,11.6,0.132,10,0,1.11
,17:23:17,4,2700,205.6,1.19,13.3,9,11.6,0.128,10,0,1.11
,17:23:18,4,2700,206.6,1.19,13.3,9,11.6,0.125,10,0,1.11
