Data file,,PPS_ISO10_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PPS on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <High temp> = 12,,,,,,,,,,,,
Test file variable V2 <Low temp> =-8,,,,,,,,,,,,
Test file variable V3 <15mm> = 6.3,,,,,,,,,,,,
Test file variable V4 <20mm> = 9.1,,,,,,,,,,,,
Test started at 15:44:22 on 03/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,pps_iso10_12deg_001-h001.tsv,,,,,,,,,,
,16:54:31,4,5,4208.8,0.02,0,7,12.2,0.003,10,49.8,0.02
,16:54:32,4,5,4209.8,0.2,0.6,7,12.2,0.031,10,50,0.23
,16:54:33,4,5,4210.8,0.64,4.9,6,12.2,0.1,10,50.1,0.66
,16:54:34,4,5,4211.8,1.1,11,6,12.2,0.172,10,50.1,1.11
,16:54:35,4,5,4212.8,1.37,13.3,6,12.3,0.213,10,50,1.32
,16:54:36,5,3590,4213.8,1.36,13.3,6,12.3,0.212,10,50,1.3
,16:54:37,5,3590,4214.8,1.32,13.3,6,12.3,0.206,10,50,1.26
,16:54:38,5,3590,4215.8,1.29,13.3,6,12.3,0.202,10,50.1,1.24
,16:54:39,5,3590,4216.8,1.29,13.3,6,12.4,0.201,10,50,1.24
,16:54:40,5,3590,4217.8,1.29,13.3,7,12.4,0.193,10,50.1,1.24
,16:54:41,5,3590,4218.8,1.3,13.3,7,12.4,0.195,10,50.1,1.25
,16:54:42,5,3590,4219.8,1.29,13.3,7,12.5,0.187,10,50,1.24
,16:54:43,5,3590,4220.8,1.28,13.3,7,12.5,0.185,10,50.1,1.23
,16:54:44,5,3590,4221.8,1.25,13.3,7,12.5,0.188,10,50.1,1.2
,16:54:45,5,3590,4222.8,1.23,13.3,6,12.5,0.191,10,50,1.18
,16:54:46,5,3590,4223.8,1.2,13.3,6,12.6,0.187,10,50,1.15
,16:54:47,5,3590,4224.8,1.18,13.3,6,12.6,0.183,10,50,1.13
