Data file,,PEEK_HEF_T29_PE4.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,29/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:08:18 on 29/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_hef_t29_pe4-h001.tsv,,,,,,,,,,
,13:09:12,4,5,53.8,0.03,0,7,21,0.004,10,49.7,0.04
,13:09:13,4,5,54.8,0.15,0.9,7,21,0.021,10,49.8,0.16
,13:09:14,4,5,55.8,0.37,6.1,7,21,0.053,10,49.9,0.38
,13:09:15,4,5,56.8,0.64,12.3,7,21,0.093,10,49.9,0.64
,13:09:16,4,5,57.8,0.81,13.3,7,21,0.113,10,49.9,0.8
,13:09:17,5,3590,58.8,0.89,13.3,7,21,0.128,10,49.9,0.86
,13:09:18,5,3590,59.8,0.91,13.3,7,21,0.132,10,49.8,0.88
,13:09:19,5,3590,60.8,0.95,13.3,7,21,0.127,10,49.8,0.92
,13:09:20,5,3590,61.8,0.98,13.3,7,21,0.131,10,49.8,0.94
,13:09:21,5,3590,62.8,1,13.3,7,21,0.134,10,49.8,0.96
,13:09:22,5,3590,63.8,1,13.3,7,21,0.145,10,49.8,0.97
,13:09:23,5,3590,64.8,1,13.3,7,21,0.145,10,49.8,0.97
,13:09:24,5,3590,65.8,0.99,13.3,7,21,0.138,10,49.8,0.96
,13:09:25,5,3590,66.8,1,13.3,7,21,0.139,10,49.8,0.96
